N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8217881839136236,0.7798337712832193,0.7759336213959847,0.19630071599045346,0.6196953477682254,0.27745668093836
Model2,500,2,1,0.8329491689918719,0.7919175627117986,0.7896189330224083,0.24284009546539378,0.668218090511144,0.33104001372147973
Model3,500,3,1,0.8256702656799709,0.7594848970617986,0.7715950671822779,0.1760143198090692,0.5047921497223924,0.2509690502050212
Model4,500,1,2,0.8604876865218973,0.8466180464430408,0.8381945365261131,0.40930787589498807,0.8166082370077694,0.5166477458781326
Model5,500,2,2,0.889118039548708,0.8800679956011576,0.8799163197903092,0.5525059665871122,0.8380019074907374,0.6593712391011691
Model6,500,3,2,0.8916656557078734,0.8920982115109362,0.8803968245353474,0.538782816229117,0.8642878518371304,0.6425000845326734
Model7,800,1,2,0.8707994662137571,0.8641183518679815,0.8502123570369995,0.44749403341288785,0.8392423983297723,0.5512241591416359
Model8,800,2,2,0.8956690525294189,0.8907610717049012,0.8848417011320104,0.5704057279236276,0.8862786128451657,0.679556088369342
Model9,800,3,2,0.8990658740749727,0.8959142510880537,0.8916333443545998,0.568019093078759,0.8674341505331084,0.6844116687350669
